Year,Cancer,State,Accuracy
2016,CAN10_1,CAL,0.0008304753914030785
2017,CAN10_1,CAL,0.00011276264529452608
2018,CAN10_1,CAL,6.39864173706785e-05
2016,CAN11_1,CAL,0.3409382543510026
2017,CAN11_1,CAL,0.7726452369947857
2018,CAN11_1,CAL,5.048657492299605
2016,CAN5_1,CAL,0.15029236786642483
2017,CAN5_1,CAL,0.01694521722834728
2018,CAN5_1,CAL,0.015168716262661665
2016,CAN6_1,CAL,0.0015559021376231755
2017,CAN6_1,CAL,0.01180628882320884
2018,CAN6_1,CAL,0.03525044786256833
2016,CAN7_1,CAL,0.09299212674179808
2017,CAN7_1,CAL,0.016102989805648962
2018,CAN7_1,CAL,0.008967171620189743
2016,CAN8_1,CAL,0.2761263876344917
2017,CAN8_1,CAL,0.15290222432284725
2018,CAN8_1,CAL,1.2769697114493395
2016,CAN9_1,CAL,0.025292226222361745
2017,CAN9_1,CAL,0.037411119545219744
2018,CAN9_1,CAL,0.11381468874860699
2016,CAN10_1,NY,0.01878669742811883
2017,CAN10_1,NY,0.03425641682123843
2018,CAN10_1,NY,0.24345008887091704
2016,CAN11_1,NY,1.2780528202499786
2017,CAN11_1,NY,12.820643869247347
2018,CAN11_1,NY,71.90269106552545
2016,CAN5_1,NY,0.9189517998857405
2017,CAN5_1,NY,2.6873482676176397
2018,CAN5_1,NY,18.56568388544146
2016,CAN6_1,NY,0.005133279900544179
2017,CAN6_1,NY,0.0018373813248934523
2018,CAN6_1,NY,0.004812254998610986
2016,CAN7_1,NY,0.03412439861065654
2017,CAN7_1,NY,0.004389493085780222
2018,CAN7_1,NY,0.0010108787462284623
2016,CAN8_1,NY,0.01856149540964769
2017,CAN8_1,NY,0.0933853205420626
2018,CAN8_1,NY,0.3442228875915183
2016,CAN9_1,NY,0.002990978596545656
2017,CAN9_1,NY,0.03141218888841922
2018,CAN9_1,NY,0.1274017063472555
2016,CAN10_1,TEX,0.009619540263599033
2017,CAN10_1,TEX,0.0013152301454100583
2018,CAN10_1,TEX,0.002467615635615868
2016,CAN11_1,TEX,1.9277367815038238
2017,CAN11_1,TEX,10.982684698209226
2018,CAN11_1,TEX,63.258345818492046
2016,CAN5_1,TEX,1.5693537668065556
2017,CAN5_1,TEX,0.17787581473130112
2018,CAN5_1,TEX,0.028078150306887355
2016,CAN6_1,TEX,0.0020713200074018202
2017,CAN6_1,TEX,0.0004218842236683935
2018,CAN6_1,TEX,6.509075206084826e-05
2016,CAN7_1,TEX,0.004008427505246101
2017,CAN7_1,TEX,0.1056087112564513
2018,CAN7_1,TEX,0.39775261503675063
2016,CAN8_1,TEX,0.2690787265569593
2017,CAN8_1,TEX,0.30033834832027045
2018,CAN8_1,TEX,2.094331308512335
2016,CAN9_1,TEX,0.4612673611375739
2017,CAN9_1,TEX,0.21390625001801888
2018,CAN9_1,TEX,0.07111111112150158
