,State,StateDesc,Year,CAN10_1,CAN11_1,CAN5_1,CAN6_1,CAN7_1,CAN8_1,CAN9_1
0,AK,Alaska,2008,11.5,108.94999999999999,124.35,7.3,42.1,59.3,12.7
1,AK,Alaska,2009,11.625,104.125,123.925,7.125,42.05,58.275,13.05
2,AK,Alaska,2010,11.616666666666667,99.56666666666666,124.73333333333333,6.833333333333333,41.65,57.28333333333333,13.466666666666667
3,AK,Alaska,2011,11.6375,94.9375,125.225,6.875,41.35,56.5625,13.6375
4,AK,Alaska,2012,11.620000000000001,92.22,125.0,6.95,41.11,55.989999999999995,13.84
5,AK,Alaska,2013,11.540000000000001,86.91,124.47,6.970000000000001,40.95,54.77,14.11
6,AK,Alaska,2014,11.41,84.51,124.29,7.159999999999999,40.760000000000005,53.8,14.219999999999999
7,AK,Alaska,2015,11.459999999999999,84.89,123.80999999999999,7.45,40.7,53.17999999999999,14.12
8,AK,Alaska,2016,11.4,85.85,123.0875,7.5625,40.7625,52.875,14.1125
9,AK,Alaska,2017,11.35,87.35000000000001,122.75,7.666666666666667,40.96666666666667,52.6,13.933333333333332
10,AK,Alaska,2018,11.475,89.825,123.275,7.800000000000001,40.8,52.3,13.875
11,AK,Alaska,2019,11.85,92.35,123.95,7.7,40.55,52.2,13.8
12,AL,Alabama,2008,13.95,154.8,130.75,8.7,48.35,79.35,22.65
13,AL,Alabama,2009,14.0,151.72500000000002,131.025,8.75,47.875,78.525,22.5
14,AL,Alabama,2010,14.049999999999999,147.9,131.45000000000002,8.783333333333333,47.666666666666664,77.81666666666666,22.25
15,AL,Alabama,2011,14.1125,144.825,132.1875,8.875,47.6,77.1625,22.2125
16,AL,Alabama,2012,14.23,142.43,132.97,9.0,47.68,76.61,22.380000000000003
17,AL,Alabama,2013,14.39,138.57999999999998,134.05,9.16,47.61,75.42999999999999,22.53
18,AL,Alabama,2014,14.48,136.39000000000001,135.1,9.3,47.62,74.45,22.97
19,AL,Alabama,2015,14.540000000000001,136.54000000000002,136.3,9.440000000000001,47.6,73.58,23.57
20,AL,Alabama,2016,14.600000000000001,136.775,136.775,9.5125,47.65,73.175,23.9375
21,AL,Alabama,2017,14.566666666666668,138.08333333333334,137.0,9.516666666666667,47.53333333333333,72.76666666666667,24.233333333333334
22,AL,Alabama,2018,14.475000000000001,139.35,137.425,9.525,47.3,72.425,24.65
23,AL,Alabama,2019,14.450000000000001,141.0,138.3,9.55,47.15,72.05,24.75
24,AR,Arkansas,2008,13.649999999999999,147.8,119.65,10.05,47.2,84.55,17.75
25,AR,Arkansas,2009,13.75,143.45,121.625,10.025,46.925,84.75,18.425
26,AR,Arkansas,2010,13.9,139.61666666666665,122.8,9.950000000000001,46.96666666666667,85.18333333333334,19.033333333333335
27,AR,Arkansas,2011,14.0875,136.7375,123.975,9.9,47.15,85.6625,19.75
28,AR,Arkansas,2012,14.26,134.15,125.35999999999999,9.89,47.32,86.08,20.380000000000003
29,AR,Arkansas,2013,14.59,129.75,127.88,9.8,47.58,86.64,21.53
30,AR,Arkansas,2014,14.95,128.35999999999999,129.88,9.709999999999999,47.980000000000004,87.07000000000001,22.6
31,AR,Arkansas,2015,15.280000000000001,128.78,132.23,9.68,48.4,87.15,23.75
32,AR,Arkansas,2016,15.4375,128.95,133.4125,9.6625,48.575,87.1625,24.2125
33,AR,Arkansas,2017,15.6,130.66666666666666,134.25,9.6,48.76666666666667,86.96666666666665,24.650000000000002
34,AR,Arkansas,2018,15.75,133.1,135.25,9.6,48.9,86.775,25.225
35,AR,Arkansas,2019,15.85,134.05,136.9,9.65,49.15,86.45,26.0
36,AZ,Arizona,2008,9.6,100.69999999999999,122.6,7.05,38.45,56.35,18.549999999999997
37,AZ,Arizona,2009,9.675,97.75,122.85000000000001,7.0,38.075,56.275000000000006,19.1
38,AZ,Arizona,2010,9.783333333333333,95.64999999999999,123.36666666666667,6.866666666666667,37.81666666666667,55.900000000000006,19.633333333333333
39,AZ,Arizona,2011,9.9375,94.1375,123.875,6.825,37.5875,55.650000000000006,20.375
40,AZ,Arizona,2012,10.01,92.94,124.47,6.81,37.339999999999996,55.28000000000001,21.16
41,AZ,Arizona,2013,10.17,90.92,125.55,6.720000000000001,36.85,54.620000000000005,22.85
42,AZ,Arizona,2014,10.27,90.12,126.61000000000001,6.63,36.47,53.73,24.830000000000002
43,AZ,Arizona,2015,10.309999999999999,89.39,127.32000000000001,6.609999999999999,35.980000000000004,52.739999999999995,26.839999999999996
44,AZ,Arizona,2016,10.2875,89.3375,127.80000000000001,6.5875,35.75,52.2,27.900000000000002
45,AZ,Arizona,2017,10.283333333333333,89.73333333333333,128.11666666666667,6.533333333333334,35.550000000000004,51.666666666666664,29.100000000000005
46,AZ,Arizona,2018,10.225,89.3,128.175,6.5,35.325,50.975,30.15
47,AZ,Arizona,2019,10.2,87.8,127.95,6.5,34.85,50.2,30.75
48,CA,California,2008,10.45,119.55000000000001,125.95,7.75,39.599999999999994,47.349999999999994,19.799999999999997
49,CA,California,2009,10.45,116.17500000000001,126.0,7.65,38.925,46.8,19.9
50,CA,California,2010,10.483333333333334,112.41666666666667,126.01666666666667,7.566666666666666,38.43333333333333,46.18333333333334,20.133333333333333
51,CA,California,2011,10.525,108.8125,126.3875,7.5,38.0375,45.6625,20.3875
52,CA,California,2012,10.56,105.38,126.60999999999999,7.470000000000001,37.72,45.230000000000004,20.619999999999997
53,CA,California,2013,10.61,99.53,127.02000000000001,7.38,37.0,44.31,21.02
54,CA,California,2014,10.65,94.83,127.45,7.33,36.5,43.44,21.41
55,CA,California,2015,10.67,92.11,128.10999999999999,7.3100000000000005,36.08,42.67,21.669999999999998
56,CA,California,2016,10.675,90.6375,128.2625,7.3125,35.8875,42.3125,21.8
57,CA,California,2017,10.666666666666666,90.3,128.51666666666668,7.300000000000001,35.699999999999996,41.916666666666664,21.883333333333336
58,CA,California,2018,10.65,90.3,128.775,7.300000000000001,35.55,41.5,21.925
59,CA,California,2019,10.65,91.3,129.35,7.300000000000001,35.35,41.1,21.9
60,CO,Colorado,2008,10.3,133.2,129.7,5.95,35.0,46.2,22.35
61,CO,Colorado,2009,10.35,128.225,130.0,5.95,34.775,45.625,22.45
62,CO,Colorado,2010,10.5,123.3,130.0,5.966666666666666,34.63333333333333,45.18333333333334,22.483333333333334
