,Year,State,Tax,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,PRECIP,N_WET_NH4,N_WET_NO3,N_WET,N_DRY_HNO3,N_DRY_NO3,N_DRY_TNO3,N_DRY_NH4,N_DRY_NH3,N_DRY_NH3NET,N_DRY_NOM,N_DRY_NRED,N_DRY_NOXI,N_DRY,S_WET_SO4,S_WET,S_DRY_SO2,S_DRY_SO4,S_DRY,NA_DRY,NA_WET,MG_DRY,MG_WET,K_DRY,K_WET,CA_DRY,CA_WET,CL_DRY,CL_WET
0,2001,AL,6747707.0,4785437,2322988,2462449,1657051,1708508,587969,673265,16787,16096,26475,29246,2931,2236,31775,33098,1685590,1737861,602300,688725,31614,31442,32945,36006,4234,3719,2219208,2380041,1570120,1639766,581110,667181,12868,13271,25547,28540,1044,980,28519,30303,1595896,1666780,593948,681290,25967,27204,31378,34691,2003,2131,103780,82408,86931,68742,6859,6084,3919,2825,928,706,1887,1256,3256,2795,89694,71081,8352,7435,5647,4238,1567,1315,2231,1588,131.225,2.506,2.165,4.672,4.173,0.286,4.46,0.398,1.535,0.791,1.932,1.933,6.391,8.324,4.921,4.921,6.638,0.318,6.956,0.196,1.273,0.046,0.223,0.06,0.551,0.184,0.866,0.106,2.245
1,2001,AR,4986747.0,2921964,1434724,1487240,1159262,1187080,216407,238623,13178,13073,17947,20008,3573,3235,24357,25221,1181927,1210463,225508,248179,26094,26536,22225,24394,4576,4239,1334757,1399725,1069598,1108709,213186,235651,10003,10377,17181,19327,2952,2803,21837,22858,1089955,1129934,221472,244476,21388,22340,20970,23271,3745,3615,99967,87515,89664,78371,3221,2972,3175,2696,766,681,621,432,2520,2363,91972,80529,4036,3703,4706,4196,1255,1123,831,624,151.199,1.507,2.241,3.748,3.314,0.077,3.391,0.233,1.217,0.678,1.516,1.45,4.907,6.356,4.147,4.147,1.446,0.244,1.69,0.208,1.442,0.038,0.24,0.048,0.526,0.135,1.754,0.092,2.448
2,2001,AZ,8360376.0,6407172,3183922,3223250,2696389,2731840,147100,135101,166315,170237,88871,101197,8736,7438,76511,77437,2764637,2801049,175874,164602,195792,200093,115867,128081,14823,13710,2227904,2275834,1832998,1874603,127328,114756,126085,132838,80886,93087,6227,4972,54380,55578,1881277,1924208,148948,136943,143929,151411,101659,113694,10680,9669,956018,947416,863391,857237,19772,20345,40230,37399,7985,8110,2509,2466,22131,21859,883360,876841,26926,27659,51863,48682,14208,14387,4143,4041,34.53333333333333,0.5496666666666666,0.8273333333333334,1.377,1.498,0.10733333333333334,1.6056666666666668,0.11366666666666665,0.36566666666666664,0.13166666666666668,0.253,0.47933333333333333,1.8583333333333334,2.337666666666667,0.8236666666666667,0.8236666666666667,0.36966666666666664,0.10433333333333333,0.47433333333333333,0.12633333333333333,0.233,0.035333333333333335,0.09499999999999999,0.03866666666666666,0.14066666666666666,0.26966666666666667,0.9346666666666668,0.044000000000000004,0.4236666666666667
3,2001,CA,90453746.0,37319502,18545938,18773564,13871272,13797795,1225792,1260514,317587,305568,2401000,2660686,90582,91510,639705,657491,14431194,14370439,1406290,1452701,515335,513789,2735187,2998110,158158,162417,11444589,11812292,7476718,7540429,1079499,1106783,81451,83010,2291144,2548642,66055,67172,449722,466256,7866977,7942953,1208391,1245386,186916,199270,2553652,2813588,115621,119703,7101349,6961272,6394554,6257366,146293,153731,236136,222558,109856,112044,24527,24338,189983,191235,6564217,6427486,197899,207315,328419,314519,181535,184522,42537,42714,58.153625,1.176,0.892625,2.06875,3.7646249999999997,0.248125,4.0125,0.22625,2.29675,2.054875,0.449625,2.522625,4.46225,6.984875000000001,0.59075,0.59075,0.419875,0.124625,0.5443749999999999,0.28875,0.73975,0.057999999999999996,0.105,0.07025,0.104875,0.26125,0.467375,0.08837500000000001,1.2497500000000001
4,2001,CO,7566919.0,5047349,2529516,2517833,2238772,2225593,113617,102504,40083,38398,66774,79571,4308,4195,65962,67572,2299050,2287489,136897,126324,67019,66500,89838,102952,8524,8463,1996915,2005835,1765551,1772536,101424,89872,16073,15560,62791,75576,2947,2853,48129,49438,1809559,1817823,119266,108286,32019,32378,81968,95006,6111,6058,532601,511998,473221,453057,12193,12632,24010,22838,3983,3995,1361,1342,17833,18134,489491,469666,17631,18038,35000,34122,7870,7946,2413,2405,55.322,0.772,1.045,1.8165,1.41225,0.224,1.63625,0.17500000000000002,0.3315,0.19874999999999998,0.28275,0.5065,1.9192500000000001,2.4255,0.84275,0.84275,0.27449999999999997,0.133,0.4075,0.095,0.1575,0.0385,0.0865,0.0485,0.095,0.27525,0.91075,0.04825,0.27075
5,2001,CT,9895673.0,3579114,1742318,1836796,1441093,1511609,187394,206010,8532,8299,68687,72954,1909,1600,34703,36324,1471374,1543137,207270,227947,18553,19269,79010,82999,3827,3281,1501202,1595455,1241976,1314101,162305,178328,3557,3625,66795,71142,575,622,25994,27637,1264655,1337919,176119,193862,10805,11628,75645,80083,1825,1871,241116,241341,199117,197508,25089,27682,4975,4674,1892,1812,1334,978,8709,8687,206719,205218,31151,34085,7748,7641,3365,2916,2002,1410,95.655,1.306,2.395,3.701,6.241,0.169,6.41,0.299,0.808,0.24,1.841,1.107,8.251,9.358,4.251,4.251,5.811,0.347,6.158,0.339,1.574,0.048,0.212,0.04,0.155,0.12,0.712,0.157,2.821
6,2001,FL,24938748.0,18845537,9211956,9633581,7283546,7549744,1487667,1604089,46815,42520,220972,256520,9665,9219,163291,171489,7423720,7695721,1576594,1698837,91375,89932,274396,312981,21621,21863,7110823,7482779,5354717,5569488,1385356,1500395,24074,23996,212196,247522,5572,5583,128908,135795,5463618,5683052,1452524,1572157,58517,61117,257931,295908,15431,16146,2101133,2150802,1928829,1980256,102311,103694,22741,18524,8776,8998,4093,3636,34383,35694,1960102,2012669,124070,126680,32858,28815,16465,17073,6190,5717,154.958,1.007,1.8955,2.9025,1.8624999999999998,0.39449999999999996,2.257,0.215,0.3065,-0.4895,0.815,0.5215000000000001,3.072,3.5934999999999997,3.6995,3.6995,1.6025,0.6425000000000001,2.2445,1.9809999999999999,7.014,0.2745,0.812,0.161,0.612,0.5155,1.537,2.3455,12.564
7,2001,GA,14368505.0,9711881,4741185,4970696,3061074,3090985,1409148,1596899,25983,22711,158265,168519,5645,4876,81070,86706,3130050,3163352,1455582,1649275,52261,51212,181680,192992,9608,9128,4279527,4575277,2670590,2761605,1372234,1560136,10664,11007,154631,165294,2854,2627,68554,74608,2728798,2823611,1411604,1605319,31210,34189,175611,187250,5968,6117,461658,395419,390484,329380,36914,36763,15319,11704,3634,3225,2791,2249,12516,12098,401252,339741,43978,43956,21051,17023,6069,5742,3640,3011,106.62,1.218,1.552,2.771,3.627,0.135,3.763,0.243,0.565,-0.335,1.901,0.808,5.664,6.472,3.537,3.537,5.744,0.275,6.019,0.273,1.312,0.05,0.213,0.055,0.384,0.145,0.64,0.114,2.421
8,2001,ID,2558098.0,1570746,786799,783947,740893,737955,6369,4593,13096,12837,8991,11076,1484,1315,15966,16171,756082,753421,9492,7758,21049,20853,14317,16405,2849,2692,694727,699023,658195,661894,5315,3663,8773,8881,8306,10427,1171,1032,12967,13126,670631,674534,7853,6209,14710,14903,12963,15112,2281,2159,92072,84924,82698,76061,1054,930,4323,3956,685,649,313,283,2999,3045,85451,78887,1639,1549,6339,5950,1354,1293,568,533,54.927,0.842,0.774,1.616,0.543,0.037,0.58,0.063,0.396,-0.191,0.241,0.459,0.821,1.28,0.815,0.815,0.094,0.048,0.142,0.047,0.27,0.016,0.065,0.036,0.118,0.097,0.523,0.019,0.333
9,2001,IL,23150229.0,12840172,6296986,6543186,4964948,5069705,891991,1011866,38423,35442,293196,314860,3813,3620,104615,107693,5059753,5166559,942199,1065836,68464,67029,330410,351903,8152,7945,5247403,5558102,4006174,4172996,860448,979213,9459,9653,285666,307486,1600,1556,84056,87198,4082112,4251060,901207,1023362,29627,31617,318564,340237,5011,5031,1049583,985084,958774,896709,31543,32653,28964,25789,7530,7374,2213,2064,20559,20495,977641,915499,40992,42474,38837,35412,11846,11666,3141,2914,87.08233333333334,2.581,2.5936666666666666,5.175000000000001,2.367,0.37166666666666665,2.7390000000000003,0.33466666666666667,1.205,-0.9723333333333333,1.2590000000000001,1.54,3.9979999999999998,5.5376666666666665,4.438,4.438,4.2026666666666666,0.16133333333333333,4.364,0.14066666666666666,0.528,0.09333333333333334,0.257,0.06666666666666667,0.2333333333333333,0.564,1.8656666666666668,0.12033333333333333,0.9663333333333334
