"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"SEK402","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","0.5","1.142","1.398","1.557","2.93","0.698","0.184","0.119","0.037","0.075",""
"PSU106","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","1.274","2.42","0.292","1.093","1.367","0.896","0.242","0.029","0.039","0.075","0.032"
"BEL116","1990.0","WI","11/28/1989 09:00:00","02/27/1990 08:00:00","25.709","4.54","2.053","1.705","3.731","1.976","","","","",""
"FOR605","2019.0","FA","09/03/2019 09:00:00","12/03/2019 08:00:00","","","","","","","","","","",""
"VPI120","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","4.346","1.478","0.569","1.003","1.556","0.558","0.157","0.091","0.021","0.035","0.052"
"SND152","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","3.811","6.642","0.368","1.981","2.317","2.396","0.262","0.153","0.053","0.116","0.032"
"ROM406","2001.0","SP","02/27/2001 09:00:00","05/29/2001 08:00:00","0.417","0.893","0.544","0.491","1.027","0.377","0.198","0.037","0.031","0.027",""
"ABT147","2021.0","FA","08/31/2021 09:00:00","11/30/2021 08:00:00","0.258","0.579","0.446","0.381","0.82","0.197","0.105","0.289","0.046","0.063","0.346"
"YEL408","2018.0","FA","09/04/2018 09:00:00","12/04/2018 08:00:00","0.439","0.21","0.137","0.141","0.276","0.109","0.107","0.023","0.014","0.028","0.016"
"STK138","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","","","","","","","","","","",""
"ABT147","1995.0","SP","02/28/1995 09:00:00","05/30/1995 08:00:00","2.952","2.798","0.711","2.014","2.693","0.944","","","","",""
"PND165","1991.0","FA","09/03/1991 09:00:00","12/03/1991 08:00:00","0.298","0.547","0.121","0.214","0.34","0.205","","","","",""
"PAR107","1997.0","FA","09/02/1997 09:00:00","12/02/1997 08:00:00","6.099","5.077","0.408","1.328","1.715","1.451","","","","",""
"CNT169","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","0.23","0.556","0.142","0.361","0.498","0.225","0.139","0.031","0.022","0.037","0.013"
"DCP114","1998.0","FA","09/01/1998 09:00:00","12/01/1998 08:00:00","10.382","5.154","1.776","2.75","4.482","2.036","","","","",""
"GRB411","2018.0","FA","09/04/2018 09:00:00","12/04/2018 08:00:00","0.127","0.275","0.137","0.242","0.375","0.106","0.225","0.062","0.024","0.025","0.019"
"LYE145","2007.0","WI","11/28/2006 09:00:00","02/27/2007 08:00:00","4.269","1.703","0.667","1.553","2.195","0.626","0.08","0.122","0.018","0.028","0.045"
"LAV410","2018.0","FA","09/04/2018 09:00:00","12/04/2018 08:00:00","0.189","0.261","0.259","0.205","0.46","0.182","0.067","0.055","0.015","0.044","0.035"
"PRK134","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.388","0.858","2.696","0.213","2.906","1.005","0.131","0.118","0.029","0.049","0.139"
"ASH135","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","1.034","1.004","0.407","0.198","0.601","0.342","0.077","0.186","0.031","0.094","0.167"
"CVL151","2020.0","SP","03/03/2020 09:00:00","06/02/2020 08:00:00","0.282","1.08","0.376","0.424","0.793","0.343","0.15","0.201","0.041","0.07","0.118"
"PAR107","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","9.126","2.872","0.867","1.289","2.136","0.836","0.405","0.113","0.031","0.093","0.056"
"MOR409","2010.0","FA","08/31/2010 09:00:00","11/30/2010 08:00:00","0.109","0.449","0.122","0.077","0.198","0.128","0.017","0.112","0.017","0.051","0.092"
"LYE145","1997.0","FA","09/02/1997 09:00:00","12/02/1997 08:00:00","3.681","2.173","0.351","1.65","1.975","0.731","","","","",""
"GLR468","2021.0","SU","06/01/2021 09:00:00","08/31/2021 08:00:00","0.16","0.379","0.123","0.308","0.426","0.198","0.316","0.028","0.066","0.116","0.017"
"SUM256","1991.0","FA","09/03/1991 09:00:00","12/03/1991 08:00:00","","4.288","0.65","","","0.992","","","","",""
"SUM156","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","0.531","2.408","0.705","0.408","1.106","0.379","0.308","0.933","0.13","0.099","0.836"
"ROM406","1998.0","SU","06/02/1998 09:00:00","09/01/1998 08:00:00","0.507","0.847","0.184","0.756","0.928","0.346","","","","",""
"LAV410","2000.0","SP","02/29/2000 09:00:00","05/30/2000 08:00:00","0.178","0.496","0.274","0.359","0.628","0.172","0.074","0.063","0.017","0.022",""
"LAV410","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","0.119","0.277","0.116","0.122","0.237","0.094","0.037","0.046","0.013","0.02","0.021"
"CND125","2020.0","WI","12/03/2019 09:00:00","03/03/2020 08:00:00","0.398","0.745","0.619","0.612","1.221","0.35","0.058","0.203","0.031","0.059","0.203"
"DCP114","1991.0","SU","06/04/1991 09:00:00","09/03/1991 08:00:00","10.764","11.46","0.619","4.64","5.185","3.528","","","","",""
"COW137","2019.0","FA","09/03/2019 09:00:00","12/03/2019 08:00:00","0.165","0.778","0.107","0.253","0.356","0.253","0.06","0.072","0.016","0.055","0.043"
"GAS153","1999.0","WI","12/01/1998 09:00:00","03/02/1999 08:00:00","5.145","3.087","0.724","1.798","2.493","1.122","","","","",""
"EGB181","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","","","","","","","","","","",""
"YOS404","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","0.16","0.301","0.323","0.328","0.646","0.178","0.031","0.027","0.006","0.012",""
