ST ,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
POP,000000004481,000000000641,000000005439,000000002708,000000034988,000000004498,000000003459,000000000806,000000016681,000000008540,000000001235,000000001343,000000012585,000000006158,000000002935,000000002713,000000004090,000000004477,000000001298,000000005442,000000006413,000000010042,000000005025,000000002868,000000005680,000000000910,000000001726,000000002168,000000001276,000000008577,000000001855,000000019151,000000008312,000000000634,000000011410,000000003488,000000003523,000000012328,000000001069,000000004106,000000000760,000000005792,000000021723,000000002320,000000000617,000000007274,000000006067,000000001805,000000005440,000000000499
T01,000000195132,000000049652,000000329245,000000486895,000001951507,000000000000,000000000000,000000000000,000000427626,000000054089,000000000000,000000000000,000000056823,000000006291,000000000000,000000054576,000000437804,000000034794,000000048136,000000272806,000000002884,000001890783,000000305573,000000001246,000000020988,000000181501,000000006383,000000112613,000000501703,000000003303,000000052779,000000000000,000000000000,000000001375,000000018498,000000000000,000000024365,000000050949,000000001139,000000012746,000000000000,000000000000,000000000000,000000000000,000000390695,000000020557,000001457432,000000003819,000000091703,000000143975
T09,000001748235,000000000000,000004283681,000001946770,000023816406,000001901972,000003043971,000000000000,000014408709,000004833521,000001612333,000000795384,000006591337,000003798490,000001747016,000001799485,000002312224,000002326873,000000836134,000002690434,000003695874,000007784308,000003741390,000002340474,000002854718,000000000000,000001069185,000002070013,000000000000,000005996839,000001337321,000008607718,000003740715,000000335613,000006391475,000001529465,000000000000,000007330422,000000731597,000002335170,000000523001,000004674896,000014559504,000001500278,000000214746,000002799526,000007904003,000000962756,000003695796,000000445479
T10,000000129876,000000012889,000000052641,000000030402,000000292627,000000030028,000000041619,000000011739,000000547682,000000144022,000000039090,000000006212,000000140854,000000037458,000000012508,000000081834,000000072545,000000051360,000000042891,000000025754,000000065927,000000138310,000000057495,000000039690,000000025908,000000018388,000000017534,000000016717,000000011882,000000081280,000000035471,000000177991,000000202528,000000005494,000000085837,000000064729,000000012684,000000197426,000000010271,000000124110,000000011143,000000080107,000000560197,000000026080,000000015579,000000132878,000000174170,000000008621,000000045581,000000001149
T11,000000000125,000000002537,000000000630,000000000000,000000000000,000000095176,000000365010,000000000000,000000000000,000000000000,000000000000,000000000000,000000591080,000000521123,000000202485,000000000681,000000000260,000000497022,000000000000,000000004794,000000005938,000000091915,000000055853,000000184157,000000220473,000000043673,000000006280,000000720732,000000001759,000000350977,000000032391,000000000673,000000011130,000000014054,000000000000,000000007002,000000000003,000000000685,000000000000,000000028996,000000000021,000000000000,000000021218,000000000000,000000000000,000000000054,000000000085,000000000000,000000000385,000000000000
T12,000000219773,000000037323,000000198770,000000112371,000001596002,000000158199,000000207445,000000076178,000000414369,000000296175,000000070059,000000065989,000000285051,000000178569,000000135582,000000096894,000000258313,000000287750,000000060376,000000197306,000000360676,000000227081,000000163110,000000130241,000000217173,000000051084,000000038107,000000156412,000000069331,000000345816,000000051705,000000585444,000000348113,000000025999,000000365734,000000149018,000000053737,000000503155,000000032062,000000113139,000000045012,000000282623,000000972325,000000087838,000000036180,000000292702,000000291250,000000088586,000000107352,000000014604
T13,000000511927,000000040352,000000624655,000000413932,000003295903,000000569079,000000424669,000000107713,000001808863,000000649746,000000078088,000000213778,000001373522,000000742059,000000343147,000000376241,000000461333,000000558892,000000191694,000000703390,000000666751,000001089813,000000620241,000000410258,000000692454,000000191440,000000308147,000000266101,000000120006,000000523819,000000199515,000000492185,000001209386,000000110848,000001372423,000000410353,000000398309,000001753338,000000130134,000000411074,000000123427,000000814468,000002835232,000000336411,000000071187,000000848528,000000742699,000000300049,000000955404,000000075053
T14,000000003594,000000000000,000000000732,000000004386,000000044622,000000005750,000000007339,000000000198,000000029822,000000000000,000000000000,000000000000,000000012598,000000005345,000000003266,000000003812,000000017774,000000006100,000000004857,000000003122,000000006856,000000012481,000000001340,000000000000,000000000000,000000000115,000000000945,000000000000,000000004376,000000000000,000000001154,000000038034,000000000000,000000002531,000000017411,000000003078,000000001915,000000029049,000000005435,000000000000,000000001345,000000000000,000000012739,000000000000,000000000000,000000000000,000000002002,000000011973,000000002104,000000000208
T15,000000540541,000000003139,000000029347,000000000000,000000482696,000000008132,000000166580,000000030477,000001305753,000000000000,000000093405,000000001795,000001509883,000000009454,000000000000,000000000856,000000000000,000000007549,000000007225,000000140895,000000000000,000000025005,000000000052,000000016031,000000000191,000000031251,000000002878,000000011159,000000063605,000000831854,000000012945,000001154612,000000407405,000000032808,000000813796,000000019771,000000008615,000000732262,000000079844,000000042680,000000002700,000000005183,000000722187,000000001797,000000008680,000000086518,000000332438,000000186902,000000314769,000000002284
T16,000000063782,000000045810,000000161754,000000093073,000001102807,000000066244,000000158348,000000027652,000000466464,000000094099,000000065546,000000028392,000000464447,000000123215,000000094480,000000052342,000000016828,000000128521,000000094082,000000209881,000000274997,000000670022,000000173544,000000055612,000000106818,000000013281,000000044164,000000063739,000000082625,000000406856,000000017780,000001010949,000000041531,000000021573,000000281291,000000071501,000000175034,000000317442,000000083099,000000026627,000000018724,000000083573,000000540034,000000050994,000000026599,000000015125,000000330730,000000032219,000000302701,000000005067
T19,000000165215,000000000000,000000000000,000000047836,000000070985,000000000000,000000101142,000000068878,000000474802,000000000000,000000159427,000000004822,000000286875,000000008934,000000000000,000000020001,000000601807,000000327542,000000000000,000000723510,000000133808,000000030355,000000954229,000000006860,000000022207,000000021569,000000018026,000000033123,000000251802,000000239994,000000134596,000001053177,000000603777,000000071054,000000000000,000000017812,000000000000,000000084357,000000088184,000000076008,000000051801,000000105038,000003353688,000000019649,000000196731,000000606964,000000172482,000000329618,000000003572,000000000000
T20,000000002424,000000001523,000000003906,000000001579,000000036680,000000004753,000000005874,000000000627,000000030607,000000001892,000000000000,000000001255,000000004120,000000008691,000000008756,000000002281,000000005283,000000000000,000000004342,000000000573,000000001422,000000012208,000000000956,000000002232,000000004395,000000002153,000000000274,000000000000,000000016642,000000006364,000000000873,000000031985,000000006817,000000000252,000000024489,000000005502,000000002800,000000014400,000000000078,000000006894,000000000279,000000002591,000000032268,000000000922,000000000441,000000007288,000000009139,000000008717,000000000490,000000000006
T21,000000000000,000000000001,000000000022,000000001924,000000004355,000000001422,000000000067,000000000373,000000004697,000000000000,000000000000,000000000343,000000002207,000000004290,000000005863,000000000209,000000003158,000000000000,000000000796,000000000022,000000000468,000000000000,000000000403,000000001356,000000054446,000000003977,000000000000,000000092233,000000000363,000000063552,000000000263,000000000201,000000000000,000000000242,000000000000,000000005907,000000001912,000000000163,000000000315,000000001639,000000000142,000000000031,000000007119,000000000000,000000000108,000000000058,000000000106,000000000014,000000000566,000000000000
T22,000000072080,000000001281,000000008418,000000010363,000000047982,000000006838,000000017006,000000533528,000000128147,000000041137,000000002303,000000001315,000000165304,000000005562,000000032494,000000028576,000000180805,000000264684,000000003390,000000014606,000000018709,000000012172,000000004640,000000061886,000000020212,000000001692,000000006419,000000036138,000000004350,000000122367,000000002239,000000066287,000000273669,000000000000,000000264484,000000043528,000000000367,000000697815,000000011884,000000059183,000000002271,000000420768,000001991450,000000002439,000000001680,000000030293,000000015540,000000007235,000000088814,000000007704
T23,000000015178,000000020351,000000020345,000000021294,000000074037,000000057297,000000002583,000000000931,000000012926,000000022786,000000000328,000000029612,000000025424,000000023037,000000020177,000000017423,000000021631,000000032925,000000008572,000000011099,000000006194,000000049047,000000051204,000000013369,000000028715,000000033013,000000013606,000000006557,000000008016,000000013643,000000017245,000000033627,000000015114,000000010384,000000027870,000000016079,000000033200,000000060175,000000001364,000000014623,000000021760,000000024819,000000064273,000000021714,000000006393,000000019802,000000031061,000000016434,000000058683,000000026050
T24,000000183299,000000037304,000000152442,000000107222,000001740434,000000151444,000000240604,000000031850,000000940387,000000268428,000000079462,000000111221,000001342077,000000297885,000000363652,000000141794,000000190299,000000114461,000000078875,000000199651,000000270336,000000890951,000000493482,000000111683,000000237161,000000127164,000000085268,000000129657,000000076625,000000371830,000000117459,000000661059,000000410708,000000052234,000000618327,000000568820,000000266138,000000771420,000000053197,000000091089,000000041185,000000236559,000000985568,000000085734,000000040974,000000313416,000000308482,000000087320,000000312993,000000051616
T25,000000012888,000000000000,000000014712,000000021685,000000151342,000000016639,000000033803,000000000200,000000121316,000000024484,000000000313,000000005547,000000072086,000000000000,000000008087,000000011878,000000011934,000000010752,000000010252,000000020139,000000057800,000000043136,000000031082,000000023620,000000021059,000000004343,000000008157,000000013064,000000013763,000000032333,000000005935,000000106169,000000069477,000000003639,000000042442,000000012272,000000027357,000000053865,000000000580,000000020888,000000002327,000000040057,000000114978,000000009132,000000002711,000000029738,000000041060,000000003940,000000033388,000000002570
T27,000000010148,000000000232,000000000000,000000011217,000000075064,000000000000,000000000300,000000003442,000000030503,000000000000,000000011126,000000028956,000000000000,000000000000,000000008316,000000003730,000000006842,000000002819,000000000000,000000000000,000000000000,000000017403,000000000000,000000009627,000000018936,000000000005,000000000000,000000000000,000000005415,000000000007,000000000071,000000022044,000000000000,000000000005,000000002425,000000000005,000000013047,000000048048,000000000000,000000000000,000000000834,000000007078,000000017350,000000000000,000000000000,000000000000,000000015366,000000020367,000000000000,000000000000
T28,000000098943,000000011137,000000062201,000000092285,000003551204,000000039122,000000100361,000000185591,000000281803,000000092738,000000017214,000000041355,000000298661,000000035802,000000070338,000000021495,000000115584,000000085798,000000041147,000000187728,000000087002,000000223085,000000248343,000000076898,000000125903,000000025991,000000061414,000000157124,000000057080,000000344491,000000027244,000000112761,000000104795,000000036036,000000575593,000000170916,000000148596,000000418899,000000024288,000000100087,000000055693,000000099945,000000535787,000000024690,000000020032,000000137252,000000175353,000000030387,000000230470,000000006131
T29,000000000013,000000002290,000000008585,000000005168,000000011960,000000000503,000000003924,000000023830,000000006420,000000042762,000000001055,000000002660,000000004378,000000001616,000000002104,000000002582,000000003670,000000003285,000000001363,000000002149,000000058730,000000049310,000000033721,000000000683,000000006848,000000001141,000000020624,000000003983,000000002334,000000002596,000000000067,000000005958,000000003505,000000000000,000000006802,000000000365,000000002961,000000013424,000000000757,000000016356,000000008567,000000004165,000000029176,000000003009,000000001615,000000004877,000000034694,000000000246,000000002134,000000001011
T40,000002030694,000000000000,000002090645,000001513221,000033046665,000003475760,000003685244,000000716647,000000000000,000006487638,000001111590,000000842375,000007471385,000003540819,000001769347,000001854848,000002678330,000001788733,000001072810,000004704368,000007912934,000006125270,000005443355,000000985117,000003615391,000000517568,000001153444,000000000000,000000071433,000006836992,000000982891,000025573667,000007265242,000000199590,000008335554,000002286110,000003674962,000006734729,000000823521,000002349195,000000000000,000000146293,000000000000,000001605310,000000407835,000006710771,000000000000,000001034665,000004973615,000000000000
T41,000000322636,000000269273,000000346280,000000176874,000005333036,000000205217,000000149454,000000251643,000001218864,000000568080,000000052640,000000076769,000001383823,000000709412,000000088310,000000121931,000000302129,000000264419,000000077366,000000359420,000000812257,000002065241,000000533901,000000195814,000000300459,000000068173,000000107628,000000000000,000000377313,000001101296,000000124327,000002257935,000000668124,000000049990,000000761050,000000173701,000000196257,000001198438,000000028273,000000159837,000000040547,000000502977,000000000000,000000110989,000000037306,000000308554,000000000000,000000220158,000000445016,000000000000
T50,000000082970,000000003117,000000081893,000000039494,000001000493,000000072199,000000159819,000000041342,000000751611,000000123034,000000016624,000000009645,000000328729,000000141886,000000079507,000000048082,000000085410,000000068995,000000023420,000000182753,000000200547,000000131029,000000066291,000000030154,000000134253,000000013816,000000015611,000000030088,000000055955,000000510367,000000019291,000000767689,000000118141,000000005334,000000116259,000000085976,000000065200,000000761812,000000018848,000000063647,000000023482,000000100045,000000332575,000000009424,000000013886,000000133660,000000114173,000000013322,000000082635,000000009901
