 ST,          AL,          AK,          AZ,          AR,          CA,          CO,          CT,          DE,          FL,          GA,          HI,          ID,          IL,          IN,          IA,          KS,          KY,          LA,          ME,          MD,          MA,          MI,          MN,          MS,          MO,          MT,          NE,          NV,          NH,          NJ,          NM,          NY,          NC,          ND,          OH,          OK,          OR,          PA,          RI,          SC,          SD,          TN,          TX,          UT,          VT,          VA,          WA,          WV,          WI,          WY
POP,000000004558,000000000664,000000005939,000000002779,000000036132,000000004665,000000003510,000000000844,000000017790,000000009073,000000001275,000000001429,000000012763,000000006272,000000002966,000000002745,000000004173,000000004524,000000001322,000000005600,000000006399,000000010121,000000005133,000000002921,000000005800,000000000936,000000001759,000000002415,000000001310,000000008718,000000001928,000000019255,000000008683,000000000637,000000011464,000000003548,000000003641,000000012430,000000001076,000000004255,000000000776,000000005963,000000022860,000000002470,000000000623,000000007567,000000006288,000000001817,000000005536,000000000509
T01,000000231136,000000042912,000000374024,000000542832,000002164259,000000000000,000000000000,000000000000,000000299856,000000067019,000000000000,000000000000,000000056131,000000008874,000000000000,000000060572,000000475494,000000045401,000000043660,000000528638,000000000070,000002152022,000000619122,000000044070,000000023238,000000185349,000000002400,000000149008,000000392265,000000003484,000000047600,000000000000,000000000000,000000001536,000000037158,000000000000,000000024432,000000057984,000000001588,000000009633,000000000000,000000000000,000000000000,000000000000,000000744535,000000018525,000001590722,000000003638,000000112159,000000180821
T09,000002033192,000000000000,000005208070,000002573503,000029967136,000002003066,000003267726,000000000000,000019056249,000005310121,000002136604,000001128485,000007195445,000005001049,000001721763,000002005188,000002594976,000002861435,000000934848,000002889997,000003890945,000008074095,000004203736,000002587970,000003036441,000000000000,000001516705,000002914781,000000000000,000006552200,000001556600,000011003520,000004602082,000000410216,000008194419,000001660825,000000000000,000008064868,000000844087,000002903274,000000621812,000006118001,000016356284,000001710379,000000310805,000003093725,000009147303,000001095341,000004039450,000000522262
T10,000000118288,000000034638,000000059222,000000043307,000000314252,000000031593,000000044236,000000013777,000000622635,000000150037,000000043717,000000006813,000000147238,000000038719,000000014062,000000090244,000000081751,000000054215,000000012742,000000027352,000000069251,000000150888,000000069272,000000039993,000000028307,000000021737,000000024087,000000036332,000000012227,000000099359,000000034627,000000184610,000000220546,000000005980,000000089920,000000070999,000000013555,000000237405,000000011241,000000141827,000000012416,000000097423,000000626378,000000030177,000000017878,000000151987,000000199426,000000008646,000000049301,000000001187
T11,000000000092,000000002458,000000000610,000000000000,000000000000,000000099092,000000416496,000000000000,000000000000,000000000000,000000000000,000000000000,000000826426,000000793566,000000241397,000000000585,000000000195,000000510069,000000000401,000000010929,000000004607,000000145811,000000054959,000000223135,000000327385,000000053126,000000005937,000000934638,000000000381,000000475661,000000046353,000000000731,000000011157,000000009559,000000000000,000000004361,000000000017,000000000521,000000000000,000000036145,000000000025,000000000000,000000024453,000000000000,000000000000,000000000079,000000000061,000000000000,000000000325,000000000000
T12,000000272681,000000052958,000000396544,000000124954,000002232955,000000191941,000000238284,000000069369,000000764559,000000331612,000000087285,000000086913,000000366584,000000186526,000000131183,000000122027,000000357504,000000362679,000000081237,000000268912,000000402303,000000249524,000000310623,000000164466,000000287739,000000061290,000000038600,000000215598,000000080315,000000454450,000000095464,000000987438,000000442228,000000030671,000000440475,000000172433,000000055276,000000677098,000000053418,000000128821,000000057647,000000360638,000001167899,000000119705,000000052463,000000373571,000000357381,000000113426,000000144873,000000019809
T13,000000559978,000000039565,000000705623,000000437097,000003366141,000000588869,000000477108,000000113663,000002093900,000000926494,000000086426,000000220102,000001419883,000000806862,000000438322,000000422846,000000496340,000000602975,000000228395,000000752809,000000685524,000001076188,000000651472,000000435530,000000742053,000000191912,000000305058,000000307672,000000132137,000000525027,000000223396,000000532687,000001338403,000000121674,000001671915,000000413840,000000373295,000001907673,000000132730,000000484981,000000124974,000000844249,000002935649,000000351097,000000085980,000000912934,000000930975,000000319671,000000957055,000000067864
T14,000000003096,000000000000,000000000462,000000004783,000000038491,000000003833,000000009666,000000000169,000000028335,000000000000,000000000000,000000000000,000000011654,000000004733,000000002150,000000003216,000000014325,000000047780,000000004236,000000002002,000000004677,000000010924,000000001539,000000000000,000000000000,000000000090,000000000270,000000000000,000000003606,000000000000,000000000897,000000031505,000000000000,000000000346,000000014603,000000001840,000000002198,000000026041,000000003990,000000000000,000000000535,000000000000,000000011603,000000000000,000000000000,000000000000,000000001836,000000010204,000000001546,000000000389
T15,000000630252,000000003969,000000037980,000000000000,000000569116,000000008952,000000217482,000000038070,000001840560,000000000000,000000108686,000000001534,000001726498,000000011543,000000000000,000000000812,000000000000,000000007718,000000024962,000000133310,000000000000,000000029239,000000000048,000000008876,000000000000,000000029071,000000003683,000000009271,000000069376,000000981399,000000013612,000000769410,000000327798,000000033419,000000155842,000000018072,000000011242,000001131296,000000086360,000000049651,000000002583,000000005352,000000826286,000000026421,000000010721,000000132235,000000373835,000000155741,000000284113,000000002976
T16,000000152886,000000056162,000000290503,000000147932,000001096224,000000130106,000000273392,000000080433,000000465772,000000248889,000000085244,000000051843,000000656473,000000343078,000000096077,000000123978,000000037727,000000105962,000000091906,000000275795,000000423637,000001179871,000000173946,000000055897,000000110282,000000061217,000000071451,000000136637,000000101735,000000800142,000000048477,000000975949,000000042981,000000021068,000000579111,000000127750,000000243746,000001030512,000000136376,000000029610,000000028371,000000121211,000000599368,000000061434,000000048360,000000103230,000000354014,000000102825,000000310143,000000027170
T19,000000192351,000000009047,000000000000,000000126311,000000088812,000000000000,000000183773,000000081783,000000614444,000000000000,000000200651,000000005612,000001005354,000000009097,000000000000,000000022225,000000668971,000000033050,000000088621,000000790650,000000321558,000000617504,000001175444,000000007521,000000066773,000000036708,000000007326,000000041866,000000305339,000000283761,000000151095,000002845404,000000630350,000000076823,000000000000,000000029439,000000000000,000000151798,000000109832,000000108691,000000055566,000000100701,000003302921,000000030332,000000251897,000000711168,000000277477,000000348233,000000003928,000000000000
T20,000000002468,000000001768,000000004799,000000001765,000000045363,000000005670,000000006346,000000000846,000000034295,000000001699,000000000000,000000001517,000000011424,000000009920,000000009376,000000002455,000000005437,000000000000,000000002866,000000001015,000000002871,000000013305,000000001058,000000002458,000000003992,000000001646,000000000350,000000000000,000000003209,000000009504,000000000825,000000042400,000000014093,000000000264,000000033315,000000004871,000000002694,000000014538,000000000152,000000009572,000000000305,000000001033,000000032001,000000001775,000000000442,000000010416,000000010175,000000011616,000000000530,000000000001
T21,000000000000,000000000001,000000000029,000000000291,000000008116,000000000942,000000000053,000000000330,000000004190,000000000000,000000000000,000000000352,000000002127,000000004029,000000030598,000000000236,000000000325,000000000000,000000000703,000000000038,000000000439,000000000000,000000000852,000000005295,000000000067,000000004933,000000000000,000000099454,000000000236,000000066543,000000000312,000000000048,000000000000,000000000307,000000000000,000000007388,000000002233,000000000045,000000000399,000000002399,000000000121,000000000350,000000007316,000000000000,000000000096,000000000050,000000014749,000000000013,000000000552,000000000000
T22,000000080654,000000001019,000000012212,000000020929,000000063756,000000004363,000000016917,000000568540,000000176414,000000053280,000000002017,000000002075,000000191156,000000005418,000000037536,000000050898,000000198600,000000289351,000000005638,000000064597,000000025978,000000020258,000000007096,000000098152,000000118661,000000001010,000000006752,000000058992,000000004322,000000247182,000000002810,000000068772,000000388000,000000000000,000000418324,000000045513,000000009003,000000845455,000000004050,000000068397,000000002836,000000516956,000002233551,000000004452,000000004737,000000048955,000000020677,000000009106,000000015098,000000007174
T23,000000015455,000000025155,000000018019,000000019981,000000077717,000000063543,000000003920,000000000911,000000014583,000000021350,000000000365,000000030639,000000029546,000000019575,000000025809,000000022158,000000021795,000000026845,000000017476,000000012962,000000005775,000000049421,000000057990,000000013533,000000030430,000000038657,000000014175,000000008038,000000008757,000000011671,000000016323,000000041124,000000015035,000000014193,000000034697,000000018861,000000040799,000000067351,000000001920,000000020008,000000024041,000000027282,000000086019,000000021501,000000005590,000000019921,000000029487,000000015618,000000065889,000000029948
T24,000000191141,000000052930,000000170473,000000124996,000002498740,000000204520,000000205546,000000035140,000001196658,000000285161,000000099735,000000113676,000001400405,000000177324,000000382374,000000165491,000000195032,000000111459,000000084140,000000478875,000000316934,000000903103,000000521114,000000113140,000000264101,000000141747,000000089200,000000154578,000000087547,000000422980,000000158537,000000739061,000000464284,000000050903,000000716048,000000558246,000000419807,000000824017,000000053768,000000130873,000000043829,000000261728,000001282551,000000096841,000000061769,000000346614,000000355171,000000089263,000000328978,000000050217
T25,000000015008,000000000000,000000016588,000000024859,000000217282,000000014694,000000045710,000000002293,000000167449,000000041899,000000000531,000000006838,000000085908,000000209393,000000013742,000000019135,000000013279,000000011177,000000006914,000000041342,000000092224,000000051345,000000041654,000000025809,000000017257,000000005708,000000008270,000000014641,000000013348,000000036781,000000005818,000000155738,000000079893,000000004324,000000083432,000000015380,000000025701,000000060110,000000000528,000000038715,000000002366,000000042670,000000112464,000000018795,000000004393,000000045584,000000048630,000000000154,000000031437,000000002036
T27,000000010865,000000000285,000000000000,000000008131,000000076216,000000000000,000000000231,000000004439,000000021243,000000000000,000000016871,000000030160,000000000000,000000000000,000000013462,000000005201,000000008608,000000003059,000000000000,000000000000,000000000000,000000016326,000000000000,000000000000,000000019260,000000000005,000000000000,000000000000,000000006406,000000000932,000000000261,000000024276,000000000000,000000000006,000000003933,000000000005,000000013516,000000050844,000000000000,000000000000,000000000891,000000006136,000000017876,000000000000,000000000000,000000000000,000000023487,000000018425,000000072616,000000000000
T28,000000122855,000000014849,000000090877,000000106972,000003717038,000000042068,000000093905,000000250289,000000279336,000000114682,000000022117,000000049987,000000744869,000000039955,000000081884,000000022768,000000106673,000000075116,000000077639,000000133373,000000144893,000000144200,000000291669,000000067328,000000132551,000000040887,000000063900,000000362948,000000066804,000000491088,000000024947,000000156851,000000144173,000000039770,000000702460,000000199630,000000130894,000000847330,000000029387,000000123547,000000063978,000000228855,000000678564,000000034729,000000023602,000000146691,000000188395,000000039540,000000278914,000000018268
T29,000000000001,000000004663,000000012934,000000004356,000000003712,000000000757,000000004502,000000065877,000000000012,000000000014,000000001473,000000002888,000000005775,000000001388,000000004630,000000002800,000000003847,000000003353,000000007529,000000002158,000000097342,000000141973,000000035466,000000003811,000000055231,000000000366,000000020550,000000005310,000000002718,000000002426,000000000074,000000015376,000000003360,000000000000,000000005349,000000000459,000000010598,000000015769,000000000795,000000009248,000000011156,000000004672,000000034573,000000003754,000000002461,000000004710,000000035635,000000000227,000000004858,000000000729
T40,000002536521,000000000000,000002848450,000001875065,000042992007,000003770736,000005033442,000000882472,000000000000,000007326225,000001381481,000001040512,000007936884,000004213480,000002254107,000002079782,000003036231,000002392727,000001299252,000005661492,000009690270,000006108924,000006341164,000001174065,000004014574,000000713390,000001393897,000000000000,000000067686,000009537939,000001086015,000028100047,000008427553,000000242008,000009434452,000002468609,000004698994,000008275589,000000998042,000002691473,000000000000,000000155333,000000000000,000001926697,000000500464,000008352366,000000000000,000001171987,000005465082,000000000000
T41,000000397308,000000588694,000000701859,000000277311,000008670065,000000315834,000000574984,000000248869,000001785213,000000712310,000000124125,000000140585,000002183066,000000824802,000000186469,000000248085,000000478505,000000352136,000000135863,000000807054,000001332796,000001907190,000000933896,000000283231,000000218229,000000098214,000000198380,000000000000,000000476489,000002224633,000000242462,000002784721,000001271985,000000075836,000001327484,000000168890,000000365347,000001703295,000000113326,000000246935,000000049142,000000805601,000000000000,000000188845,000000068962,000000605959,000000000000,000000463249,000000782742,000000000000
T50,000000014462,000000001539,000000032812,000000013802,000000213036,000000022763,000000264795,000000006180,000000294889,000000042657,000000012712,000000008822,000000301423,000000143950,000000077003,000000049681,000000063175,000000030401,000000032258,000000183084,000000255127,000000101473,000000068952,000000011597,000000039399,000000004191,000000013566,000000020516,000000011269,000000520776,000000004925,000000898483,000000154108,000000002051,000000060381,000000075708,000000056852,000000695334,000000032436,000000019135,000000004442,000000085597,000000101674,000000002962,000000018863,000000149962,000000000000,000000004797,000000112346,000000003182
T51,000000048644,000000000000,000000000000,000000038834,000000000000,000000000000,000000206214,000000123560,000004075258,000000000670,000000024316,000000000000,000000106972,000000000000,000000016406,000000000000,000000003244,000000000000,000000034284,000000239071,000000267641,000000313548,000000287711,000000000000,000000007735,000000000000,000000009434,000000160198,000000164603,000000499710,000000000000,000000968293,000000059657,000000000000,000000000000,000000014001,000000010318,000000555748,000000014211,000000065453,000000000129,000000188594,000000000000,000000000000,000000022831,000000595406,000000837164,000000012171,000000077221,000000000000
T53,000000144813,000000925699,000000026338,000000018565,000000014251,000000145114,000000000000,000000000000,000000059121,000000000000,000000000000,000000002488,000000000448,000000000695,000000000000,000000117424,000000228848,000000711766,000000000000,000000000000,000000000000,000000068055,000000032348,000000066275,000000000075,000000181201,000000002560,000000039691,000000000000,000000000000,000000712539,000000000000,000000001932,000000262339,000000007920,000000762506,000000012148,000000000000,000000000000,000000000000,000000002870,000000001438,000002347512,000000073434,000000000000,000000001772,000000043034,000000307265,000000003476,000000805613
T99,000000000000,000000000000,000000000000,000000002144,000000000000,000000000000,000000000000,000000003207,000000000000,000000031444,000000000000,000000002618,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000061459,000000000000,000000000000,000000000000,000000000000,000000000034,000000003090,000000000000,000000000000,000000000000,000000000000,000000004352,000000000000,000000000000,000000000000,000000000000,000000019404,000000000000,000000022348,000000000111,000000000000,000000000000,000000033472,000000000000,000000000000,000000006053,000000092987,000000000000,000000000000,000000009619,000000000000
