ST,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,000000249383,000000054507,000000878057,000000574980,000002260724,000000000000,000000000000,000000000000,000000187941,000000075676,000000000000,000000000000,000000064596,000000007569,000000000000,000000065220,000000505248,000000045591,000000041190,000000576515,000000000076,000002240348,000000634697,000000044661,000000025107,000000194362,000000002473,000000163531,000000384241,000000003479,000000055300,000000000000,000000000000,000000001621,000000041758,000000000000,000000023610,000000060491,000000001480,000000009808,000000000000,000000000000,000000000000,000000000000,000000824375,000000020021,000001629571,000000003910,000000113585,000000217907
T09,000002221506,000000000000,000006311293,000002772131,000032199800,000002105049,000003040683,000000000000,000022814360,000005711915,000002355316,000001078543,000007763067,000005334275,000001800829,000002127597,000002748643,000003427486,000001041216,000003381694,000004009371,000008080905,000004437407,000003047837,000003100045,000000000000,000001409015,000003163832,000000000000,000006853418,000001741673,000011263576,000005021648,000000427487,000007673043,000001811630,000000000000,000008403283,000000854257,000003186306,000000679162,000006451838,000018275210,000001890793,000000326055,000003359964,000010048349,000001125766,000004127972,000000624924
T10,000000120662,000000035225,000000061147,000000045541,000000318276,000000033217,000000041068,000000014238,000000642926,000000156124,000000045955,000000007089,000000152300,000000037375,000000014269,000000095867,000000097582,000000053132,000000014090,000000027943,000000069526,000000133284,000000070938,000000042200,000000029543,000000023574,000000024819,000000038262,000000012624,000000101965,000000037100,000000191013,000000232768,000000006341,000000091783,000000074859,000000013643,000000249194,000000011254,000000143034,000000012654,000000105470,000000680748,000000033049,000000018614,000000160703,000000240744,000000009053,000000050782,000000001648
T11,000000000089,000000002412,000000000623,000000000000,000000000000,000000105595,000000457807,000000000000,000000000000,000000000000,000000000000,000000000000,000000839199,000000805510,000000252621,000000000583,000000000230,000000711254,000000010748,000000010653,000000004315,000000155461,000000051303,000000145711,000000344088,000000057297,000000005499,000001045846,000000000650,000000502297,000000056677,000000001030,000000011752,000000009372,000000000000,000000001776,000000000124,000000000512,000000000000,000000036612,000000007087,000000000000,000000025739,000000000000,000000000000,000000000085,000000000073,000000000000,000000000315,000000000000
T12,000000273432,000000051912,000000419888,000000127805,000002202327,000000177783,000000253430,000000085786,000000879079,000000342982,000000092219,000000086077,000000335290,000000177663,000000121428,000000127819,000000154617,000000392035,000000093915,000000345816,000000427060,000000219538,000000329034,000000165968,000000283333,000000064521,000000037470,000000238334,000000081913,000000537119,000000103081,000001010896,000000442301,000000029125,000000440014,000000139327,000000061540,000000663997,000000052860,000000134647,000000058064,000000379888,000001233494,000000120119,000000054722,000000373781,000000378804,000000105371,000000150817,000000021817
T13,000000566700,000000042087,000000772849,000000456377,000003393381,000000589533,000000432948,000000120090,000002264350,000000899222,000000087476,000000228140,000001446067,000000838295,000000441867,000000432530,000000533534,000000648621,000000229066,000000768742,000000671844,000001061656,000000646453,000000442881,000000738690,000000207256,000000304217,000000311888,000000128357,000000519491,000000240599,000000533618,000001494367,000000133607,000001800485,000000388628,000000415249,000002092822,000000133200,000000511834,000000125367,000000848348,000002993570,000000359218,000000086018,000000933207,000001030005,000000320734,000000975646,000000068845
T14,000000003207,000000000000,000000000529,000000005519,000000038018,000000003398,000000009119,000000000166,000000028145,000000000000,000000000000,000000001035,000000010546,000000004714,000000002306,000000003006,000000005974,000000004068,000000003735,000000002013,000000004181,000000009915,000000001508,000000000000,000000000000,000000000033,000000000252,000000000000,000000002934,000000000000,000000000362,000000028868,000000000000,000000000509,000000012868,000000001653,000000003075,000000025619,000000003486,000000000000,000000000313,000000000000,000000011018,000000000000,000000000000,000000000000,000000001899,000000003322,000000001246,000000000211
T15,000000692174,000000003878,000000047273,000000000000,000000605852,000000009291,000000172793,000000040829,000002923980,000000000000,000000120679,000000002285,000001821583,000000011783,000000000000,000000000883,000000014823,000000013839,000000025328,000000119341,000000024284,000000023430,000000000049,000000009174,000000000000,000000028203,000000003093,000000011593,000000070377,000000921987,000000014654,000000767944,000000353066,000000034531,000001057361,000000027016,000000009475,000001156087,000000095949,000000044173,000000002666,000000006680,000000951412,000000030582,000000010201,000000138886,000000425238,000000147702,000000325314,000000003087
T16,000000154321,000000064106,000000298001,000000148879,000001088703,000000229207,000000256397,000000088526,000000456794,000000243540,000000088261,000000053525,000000640333,000000355525,000000098936,000000122991,000000193242,000000136865,000000154825,000000280307,000000435336,000001171889,000000446117,000000058098,000000111322,000000089299,000000067026,000000138813,000000149985,000000801439,000000048405,000000971330,000000171672,000000023490,000001084143,000000242231,000000269922,000001033480,000000125911,000000032056,000000028185,000000124923,000000545904,000000060300,000000048931,000000172192,000000474907,000000112027,000000317911,000000025999
T19,000000201804,000000009278,000000000000,000000134142,000000096455,000000000000,000000306211,000000081883,000000506149,000000095607,000000221697,000000006197,000001139678,000000008792,000000000000,000000023132,000000714449,000000031100,000000095562,000000786381,000000316328,000000750531,000001243190,000000010124,000000062290,000000043744,000000007397,000000043946,000000261087,000000255567,000000145167,000004443905,000000639294,000000074630,000000264590,000000026884,000000000000,000000154203,000000121832,000000111459,000000054040,000000101654,000003608691,000000040198,000000256662,000000684259,000000306642,000000353227,000000005103,000000001079
