ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY
T01,000000301034,,000000081518,,000000901872,,000000682174,,000002279103,,000000000000,,000000000000,,000000000000,,000000002100,,000000081928,,000000000000,,000000000000,,000000059134,,000000007170,,000000000000,,000000079026,,000000503105,,000000046643,,000000037280,,000000630809,,000000003798,,000002264306,,000000712463,,000000023979,,000000028970,,000000220327,,000000002264,,000000213293,,000000387623,,000000002998,,000000057665,,000000000000,,000000000000,,000000001901,,000000000000,,000000000000,,000000021569,,000000058681,,000000001083,,000000009935,,000000000000,,000000000000,,000000000000,,000000000000,,000000810051,,000000022153,,000001741691,,000000004627,,000000124513,,000000278812
T09,000002287288,,000000000000,,000005741914,,000002807943,,000031972874,,000002312731,,000003545734,,000000000000,,000021518100,,000005796653,,000002619595,,000001347327,,000007935417,R,000005738829,,000001840862,,000002264747,,000002875836,,000003459383,,000001060557,,000003748933,,000004098089,,000008225599,,000004550838,,000003135390,,000003228274,,000000000000,,000001534134,,000003077433,,000000000000,,000008915515,,000001922922,,000011294737,,000005269929,,000000530078,,000007865674,,000002096220,,000000000000,,000008873309,,000000846870,,000003051608,,000000732438,,000006832948,,000021630136,,000001964119,,000000338941,,000003571486,,000011344622,,000001109822,,000004268068,,000000981198
T10,000000164827,,000000036567,,000000064556,,000000042843,,000000327260,,000000035472,,000000047016,,000000014735,,000000609185,,000000165640,,000000045620,,000000007562,,000000158067,,000000044707,,000000014449,,000000106299,,000000107507,,000000054993,,000000017404,,000000028966,,000000071935,,000000138779,,000000072563,,000000042092,,000000031173,,000000027166,,000000026254,,000000040401,,000000012508,,000000104104,,000000041230,,000000205253,,000000260382,,000000006916,,000000092696,,000000086433,,000000015543,,000000277427,,000000011495,,000000150065,,000000013808,,000000116189,,000000784069,,000000039697,,000000019812,,000000175654,,000000266939,,000000009465,,000000054789,,000000001633
T11,000000000086,,000000009456,,000000000569,,000000006681,,000000000000,,000000108187,,000000451789,,000000000000,,000000131978,,000000000000,,000000000000,,000000000000,,000000733278,,000000817631,,000000294467,,000000000500,,000000000220,,000000742831,,000000020391,,000000014783,,000000003494,,000000129684,,000000043219,,000000194037,,000000345771,,000000063150,,000000005659,,000001047800,,000000000236,,000000412986,,000000059742,,000000000951,,000000014267,,000000009196,,000000000000,,000000010988,,000000000050,,000000791573,,000000000000,,000000037957,,000000008334,,000000000000,,000000036318,,000000000000,,000000000000,,000000000072,,000000000043,,000000000000,,000000000388,,000000000000
T12,000000293955,,000000054698,,000000470297,,000000147434,,000002172936,,000000190750,,000000199297,,000000093974,,000000714400,,000000348218,,000000099158,,000000083213,,000000316282,,000000188794,,000000111647,,000000133913,,000000151809,,000000478288,,000000097242,,000000414233,,000000396196,,000000223198,,000000347045,,000000193872,,000000283960,,000000065419,,000000037250,,000000256814,,000000085820,,000000542920,,000000144256,,000001137058,,000000506003,,000000037426,,000000443861,,000000146982,,000000050034,,000000698200,,000000052553,,000000125696,,000000061801,,000000401997,,000001452882,,000000132454,,000000057267,,000000396858,,000000415028,,000000114156,,000000172073,,000000026040
T13,000000545726,,000000041985,,000000731345,,000000471214,,000003421457,,000000637193,,000000489839,,000000117746,,000002289166,,000001011202,,000000094080,,000000239881,,000001334664,,000000856301,,000000442183,,000000431755,,000000617826,,000000604377,,000000229849,,000000808964,,000000672654,,000000994937,,000000648565,,000000442119,,000000736303,,000000205819,,000000294149,,000000311953,,000000137206,,000000563266,,000000250418,,000001683167,,000001582400,,000000143389,,000001842595,,000000384814,,000000413521,,000002102168,,000000126718,,000000534252,,000000129619,,000000872892,,000003103170,,000000377261,,000000091535,,000000920063,,000001169900,,000000404221,,000001001339,,000000075013
T14,000000002668,,000000000000,,000000000430,,000000005282,,000000034949,,000000002747,,000000008308,,000000000143,,000000019227,,000000000000,,000000000000,,000000001650,,000000008360,,000000004226,,000000004102,,000000001948,,000000005670,,000000004474,,000000003000,,000000001806,,000000003496,,000000008188,,000000000967,,000000000000,,000000000000,,000000000073,,000000000234,,000000000000,,000000002916,,000000000000,,000000000660,,000000030875,,000000000000,,000000000548,,000000010714,,000000001805,,000000003673,,000000023230,,000000002806,,000000000000,,000000000325,,000000000000,,000000011906,,000000000000,,000000000000,,000000000000,,000000003221,,000000002870,,000000000908,,000000000177
T15,000000782444,,000000004091,,000000038010,,000000000000,,000000754799,,000000011810,,000000241913,,000000049805,,000003159400,,000000000000,,000000127481,,000000001599,,000001869486,,000000214755,,000000000000,,000000000851,,000000056906,,000000013965,,000000032685,,000000133513,,000000024148,,000000021317,,000000000047,,000000001954,,000000000000,,000000048843,,000000056592,,000000020849,,000000078723,,000000930457,,000000035777,,000000763658,,000000388780,,000000034438,,000001141926,,000000030499,,000000087721,,000001354940,,000000100332,,000000026458,,000000003235,,000000009627,,000001015882,,000000030619,,000000010532,,000000150237,,000000468017,,000000158141,,000000327060,,000000003308
T16,000000145020,,000000073451,,000000407420,,000000147482,,000001037457,,000000220699,,000000334907,,000000125337,,000000443732,,000000233158,,000000089265,,000000054781,,000000613651,,000000519871,,000000252857,,000000118253,,000000178558,,000000145578,,000000150499,,000000376112,,000000436942,,000001076087,,000000419127,,000000058327,,000000109365,,000000094020,,000000075479,,000000134617,,000000169789,,000000789351,,000000048235,,000000973489,,000000248159,,000000024127,,000000950940,,000000252374,,000000254955,,000001025822,,000000113998,,000000031073,,000000063903,,000000272433,,000001446895,,000000062246,,000000059247,,000000168118,,000000413488,,000000114669,,000000485470,,000000027362
T19,000000211094,,000000056785,,000000138924,,000000149338,,000000085992,,000000000000,,000000494100,,000000082775,,000000534932,,000000133974,,000000226980,,000000007281,,000001914970,,000000010895,,000000000000,,000000032955,,000000724185,,000000035001,,000000093679,,000000751276,,000000500038,,000001102583,,000001350692,,000000161652,,000000035785,,000000039912,,000000005690,,000000052212,,000000305749,,000000261002,,000000159017,,000004060858,,000000664866,,000000087288,,000000396989,,000000023687,,000000144237,,000000159344,,000000126343,,000000322054,,000000058789,,000000106296,,000004886047,,000000037638,,000000277927,,000000625544,,000000319410,,000000353547,,000000006967,,000000001130
