Code,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY,,
T01,000000315784,,000000111251,,000000835240,,000000733035,,000002335214,,000000000000,,000000000000,,000000000000,,000000000800,,000000082764,,000000000000,,000000000000,,000000063853,,000000007499,,000000000000,,000000080137,,000000513121,,000000064377,,000000041719,,000000688535,,000000004255,,000002163428,,000000713019,,000000024393,R,000000030031,,000000235150,,000000001964,,000000231596,,000000392652,,000000002405,,000000065076,,000000000000,,000000000000,,000000001942,,000000000000,,000000000000,,000000022121,,000000055536,,000000001617,,000000009994,,000000000000,,000000000000,,000000000000,,000000000000,,000000911811,,000000031375,,000001785065,,000000004868,,000000134006,,000000287169,,
T09,000002069535,,000000000000,,000004878883,,000002765996,,000028972302,,000002123671,,000003290050,,000000000000,,000019228000,,000005306491,,000002461618,,000001206137,,000007408241,R,000006205638,,000002201396,,000002227183,,000002857665,,000002963758,,000001012357,,000003851341,,000003880087,,000008998942,,000004375200,,000003026497,,000003030477,,000000000000,,000001504174,,000002684029,,000000000000,,000008188990,,000001881651,,000011073898,,000004963434,,000000607171,,000007328388,,000002162693,,000000000000,,000008496182,,000000814511,,000002910183,,000000756598,,000006356962,,000021053923,,000001744035,,000000321162,,000003372974,,000010035359,,000001110017,,000004084147,,000000989738,,
T10,000000167830,,000000039626,,000000062799,,000000045623,,000000323934,,000000035972,,000000047064,,000000015519,,000000590400,,000000166618,,000000047242,,000000008122,,000000157622,,000000043498,,000000014704,,000000111589,,000000111596,,000000056881,,000000017438,,000000029168,,000000072598,,000000140488,,000000075225,,000000042464,,000000031990,,000000028095,,000000026925,,000000037867,,000000012451,,000000104372,,000000039250,,000000206453,,000000264067,,000000007161,,000000093782,,000000090064,,000000015852,,000000294334,,000000010819,,000000150146,,000000014232,,000000116056,,000000796949,,000000040762,,000000020682,,000000180096,,000000276082,,000000009479,,000000054047,,000000001672,,
T11,000000000087,,000000009161,,000000000542,,000000007076,,000000000000,,000000095650,,000000445272,,000000000000,,000000114065,,000000000000,,000000000000,,000000000000,,000000575473,,000000880988,,000000289867,,000000000515,,000000000231,,000000715458,,000000026161,,000000019909,,000000003366,,000000121364,,000000037750,,000000172429,,000000370447,,000000062487,,000000006225,,000000905656,,000000000256,,000000375679,,000000062233,,000000000773,,000000014748,,000000010352,,000000000000,,000000013972,,000000000084,,000001006612,,000000000000,,000000033508,,000000008044,,000000000000,,000000037277,,000000000000,,000000000000,,000000000096,,000000000098,,000000000000,,000000000329,,000000000000,,
T12,000000269808,,000000052286,,000000439132,,000000149457,,000002053850,,000000197414,,000000159588,,000000088849,,000000651300,,000000314583,,000000098038,,000000078886,,000000392749,,000000187410,,000000090035,,000000136544,,000000125168,,000000484858,,000000089528,,000000390848,,000000335646,,000000261003,,000000330206,,000000188256,,000000292412,,000000066755,,000000051040,,000000238622,,000000081543,,000000507344,,000000128731,,000001111852,,000000506452,,000000034583,,000000425089,,000000157894,,000000057050,,000000731865,,000000048771,,000000125797,,000000063165,,000000299006,,000001253788,,000000132214,,000000056111,,000000387305,,000000408464,,000000113528,,000000152050,,000000029845,,
T13,000000546467,,000000010064,,000000809073,,000000462221,,000003180128,,000000616589,,000000490804,,000000114579,,000002229827,,000000861153,,000000091712,,000000218180,,000001467402,,000000798739,,000000434243,,000000422865,,000000632655,,000000600786,,000000220772,,000000734836,,000000654022,,000000969959,,000000750308,,000000425020,,000000707331,,000000191188,,000000292857,,000000298135,,000000132122,,000000540568,,000000188963,,000001613302,,000001515944,,000000143796,,000001726742,,000000420109,,000000397609,,000002025778,,000000122833,,000000514667,,000000117489,,000000815611,,000003034242,,000000350469,,000000084044,,000000891401,,000001181837,,000000384538,,000000970173,,000000067134,,
T14,000000002427,,000000000000,,000000000293,,000000005334,,000000030737,,000000000621,,000000007583,,000000000121,,000000014118,,000000000000,,000000000000,,000000001325,,000000006875,,000000003975,,000000003778,,000000000265,,000000004388,,000000005973,,000000002918,,000000001609,,000000002773,,000000007488,,000000000705,,000000000000,,000000000000,,000000000096,,000000000216,,000000000000,,000000001967,,000000000000,,000000000614,,000000027939,,000000000000,,000000000304,,000000009544,,000000001648,,000000002149,,000000013943,,000000002490,,000000000000,,000000000276,,000000000000,,000000010602,,000000000000,,000000000000,,000000000000,,000000002858,,000000002410,,000000000678,,000000000192,,
T15,000000801096,,000000004127,,000000024049,,000000000000,,000000782368,,000000012168,,000000277337,,000000057592,,000003170100,,000000000000,,000000126069,,000000002018,,000001908728,,000000215659,,000000000000,,000000000512,,000000061229,,000000012788,,000000026763,,000000124914,,000000023504,,000000028913,,000000000049,,000000001961,,000000000000,,000000050968,,000000059116,,000000023419,,000000087002,,000001002754,,000000033323,,000000799294,,000000393923,,000000036822,,000001172100,,000000032729,,000000021297,,000001382977,,000000125385,,000000026961,,000000003322,,000000008071,,000000842657,,000000026117,,000000012022,,000000151278,,000000467235,,000000163291,,000000309838,,000000004158,,
T16,000000141176,,000000073079,,000000373882,,000000171038,,000001000456,,000000217165,,000000316246,,000000125505,,000000447061,,000000229673,,000000088145,,000000052918,,000000582323,,000000510585,,000000238153,,000000112943,,000000214597,,000000145578,,000000144425,,000000405558,,000000587331,,000001043532,,000000422780,,000000083589,,000000107864,,000000089776,,000000070438,,000000119566,,000000195034,,000000766142,,000000041619,,000001337665,,000000243370,,000000024114,,000000924764,,000000257812,,000000248205,,000000989716,,000000130503,,000000030573,,000000068323,,000000301219,,000001556793,,000000059821,,000000063796,,000000167579,,000000431998,,000000115095,,000000593575,,000000026449,,
T19,000000204857,,000000061924,,000000121892,,000000144198,,000000037568,,000000000000,,000000391989,,000000072113,,000000532991,,000000122623,,000000212211,,000000006762,,000001333663,,000000010088,,000000000000,,000000032488,,000000656301,,000000216824,,000000100309,,000000664728,,000000536999,R,000000932471,,000001370117,,000000197823,,000000058399,,000000040027,,000000004292,,000000048395,,000000319279,,000000240167,,000000108228,,000004067242,,000000533247,,000000080265,,000000469080,,000000021415,,000000143280,,000000155003,,000000128452,,000000286525,,000000052162,,000000103546,,000004048746,,000000044744,,000000264189,,000000487624,,000000306853,,000000327965,,000000482562,,000000001115,,
T20,000000003881,,000000001819,,000000007928,,000000001619,,000000049448,,000000005939,,000000006571,,000000001187,,000000008629,,000000002053,,000000000000,,000000001486,,000000011729,,000000011244,,000000011004,,000000002745,,000000006272,,000000000000,,000000004704,,000000001014,,000000002941,,000000014078,,000000001724,,000000002828,,000000005086,,000000002087,,000000000542,,000000000000,,000000003245,,000000007838,,000000003583,,000000043701,,000000015261,,000000000250,,000000033302,,000000009831,,000000003423,,000000016224,,000000000121,,000000008306,,000000000553,R,000000001158,,000000070850,,000000001890,,000000000371,,000000011514,,000000011336,,000000017483,,000000001268,,000000000000,,
T21,000000000000,,000000000001,,000000000000,,000000000441,,000000011860,,000000000830,,000000000038,,000000000440,,000000009000,,000000000220,,000000000000,,000000000325,,000000003320,,000000204763,,000000024016,,000000000029,,000000000350,,000000000000,,000000000727,,000000000027,,000000000427,,000000000000,,000000001143,,000000005004,,000000001713,,000000000923,,000000000735,,000000099863,,000000000174,,000000071230,,000000000420,,000000000069,,000000000000,,000000000286,,000000008551,,000000221533,,000000002631,,000000018342,,000000000429,,000000002600,,000000007719,R,000000000353,,000000008365,,000000000000,,000000000039,,000000000118,,000000007240,,000000000015,,000000000641,,000000000000,,
T22,000000109384,,000000000889,,000000028299,,000000023967,,000000059297,,000000014674,,000000016731,,000000705618,,000000239887,,000000030241,,000000001402,,000000001927,,000000311488,,000000003629,,000000030855,,000000050352,,000000082531,,000000232660,,000000007976,,000000091758,,000000024429,,000000019585,,000000008871,,000000111892,,000000088136,,000000002768,,000000002269,,000000064913,,000000038589,,000000263405,,000000013012,,000000062981,,000000534642,,000000000000,,000001222426,,000000063327,,000000010372,,000000620004,,000000004289,,000000078570,,000000003033,,000000524685,,000004274325,,000000003249,,000000002053,,000000053675,,000000024652,,000000002463,,000000017122,,000000011533,,
