"SITE_ID","YEAR","PRECIP","N_WET_NH4","N_WET_NO3","N_WET","N_DRY_HNO3","N_DRY_NO3","N_DRY_TNO3","N_DRY_NH4","N_DRY_NH3","N_DRY_NH3NET","N_DRY_NOM","N_DRY_NRED","N_DRY_NOXI","N_DRY","N_TOTAL_NRED","N_TOTAL_NOXI","N_TOTAL","S_WET_SO4","S_WET","S_DRY_SO2","S_DRY_SO4","S_DRY","S_TOTAL","NA_DRY","NA_WET","NA_TOTAL","MG_DRY","MG_WET","MG_TOTAL","K_DRY","K_WET","K_TOTAL","CA_DRY","CA_WET","CA_TOTAL","CL_DRY","CL_WET","CL_TOTAL"
"SND152","2001.0","131.225","2.506","2.165","4.672","4.173","0.286","4.46","0.398","1.535","0.791","1.932","1.933","6.391","8.324","4.44","8.556","12.996","4.921","4.921","6.638","0.318","6.956","11.877","0.196","1.273","1.469","0.046","0.223","0.269","0.06","0.551","0.611","0.184","0.866","1.05","0.106","2.245","2.351"
"SND152","2003.0","148.406","2.503","2.717","5.219","3.591","0.209","3.799","0.341","1.574","0.872","1.933","1.915","5.732","7.647","4.417","8.449","12.866","6.245","6.245","6.519","0.268","6.788","13.033","0.111","1.415","1.526","0.033","0.265","0.298","0.05","0.584","0.635","0.149","1.403","1.552","0.106","2.783","2.889"
"SND152","2004.0","167.184","2.365","2.079","4.444","3.358","0.148","3.506","0.317","1.994","1.296","1.803","2.312","5.309","7.62","4.676","7.388","12.064","5.747","5.747","6.497","0.27","6.767","12.514","0.152","1.421","1.573","0.041","0.218","0.259","0.05","0.318","0.368","0.135","0.903","1.038","0.097","2.542","2.639"
"SND152","2005.0","122.064","3.327","2.196","5.522","3.422","0.214","3.636","0.403","1.921","1.165","1.7","2.325","5.336","7.661","5.651","7.532","13.183","6.286","6.286","6.365","0.301","6.666","12.953","0.103","1.354","1.457","0.035","0.281","0.316","0.056","0.854","0.91","0.168","1.22","1.389","0.057","2.55","2.607"
"SND152","2006.0","119.529","3.731","2.296","6.028","3.497","0.222","3.719","0.372","2.256","1.524","1.519","2.628","5.237","7.865","6.359","7.533","13.892","6.546","6.546","5.867","0.29","6.157","12.704","0.141","1.458","1.599","0.041","0.323","0.363","0.055","1.206","1.261","0.187","1.637","1.825","0.078","2.533","2.611"
"SND152","2007.0","84.228","2.577","1.319","3.896","3.648","0.251","3.9","0.435","2.149","1.394","1.449","2.584","5.349","7.933","5.161","6.668","11.829","3.977","3.977","5.905","0.326","6.23","10.207","0.196","0.909","1.105","0.048","0.168","0.216","0.056","0.387","0.443","0.209","0.59","0.799","0.075","1.642","1.717"
"SND152","2008.0","130.837","2.215","1.532","3.747","3.056","0.23","3.286","0.368","2.512","1.725","1.407","2.88","4.693","7.573","5.095","6.225","11.321","5.035","5.035","4.224","0.275","4.498","9.534","0.186","1.831","2.017","0.044","0.288","0.332","0.057","0.915","0.972","0.189","1.165","1.354","0.083","3.178","3.262"
"SND152","2009.0","163.805","1.926","1.754","3.68","2.098","0.196","2.295","0.314","2.835","2.147","1.331","3.149","3.626","6.774","5.074","5.38","10.454","3.836","3.836","2.461","0.205","2.666","6.503","0.162","1.422","1.584","0.037","0.247","0.283","0.063","0.532","0.595","0.16","1.064","1.224","0.105","2.504","2.609"
"SND152","2010.0","111.897","2.546","1.479","4.025","2.187","0.185","2.372","0.309","2.582","1.775","1.227","2.89","3.599","6.489","5.436","5.079","10.515","3.055","3.055","2.114","0.202","2.316","5.371","0.119","0.962","1.081","0.035","0.213","0.248","0.061","0.76","0.821","0.183","0.862","1.045","0.054","1.734","1.789"
"SND152","2011.0","165.593","3.447","2.219","5.666","2.302","0.169","2.471","0.311","3.15","2.302","1.275","3.461","3.746","7.207","6.908","5.965","12.873","3.833","3.833","1.956","0.216","2.172","6.004","0.205","1.573","1.778","0.044","0.331","0.375","0.063","0.48","0.543","0.177","1.656","1.833","0.118","2.583","2.701"
"SND152","2012.0","124.257","2.721","1.419","4.139","2.191","0.161","2.352","0.265","3.049","2.311","1.181","3.314","3.533","6.846","6.034","4.951","10.986","2.607","2.607","1.183","0.173","1.356","3.963","0.185","1.131","1.316","0.045","0.298","0.343","0.062","1.377","1.439","0.204","0.907","1.111","0.11","1.964","2.074"
"SND152","2013.0","186.207","3.6","1.806","5.405","1.793","0.146","1.939","0.246","3.319","2.611","1.149","3.564","3.088","6.652","7.164","4.894","12.058","3.219","3.219","1.048","0.151","1.199","4.418","0.154","1.491","1.644","0.034","0.298","0.332","0.048","0.93","0.978","0.145","1.248","1.393","0.102","2.534","2.636"
"SND152","2014.0","133.851","1.624","1.498","3.122","1.846","0.135","1.981","0.222","3.342","2.452","1.111","3.564","3.091","6.655","5.187","4.589","9.777","2.66","2.66","1.261","0.142","1.403","4.063","0.121","1.197","1.317","0.033","0.345","0.378","0.051","0.306","0.357","0.182","1.446","1.628","0.059","2.166","2.225"
"SND152","2015.0","142.519","2.566","1.271","3.836","1.737","0.148","1.885","0.224","3.69","2.872","1.101","3.914","2.986","6.9","6.479","4.257","10.736","1.912","1.912","0.919","0.127","1.046","2.958","0.133","1.214","1.348","0.034","0.229","0.263","0.052","0.626","0.678","0.167","0.659","0.826","0.092","2.186","2.277"
"SND152","2016.0","106.874","2.274","1.29","3.563","1.926","0.156","2.082","0.219","3.419","2.653","0.959","3.637","3.042","6.679","5.911","4.332","10.242","1.548","1.548","0.682","0.124","0.806","2.354","0.163","1.027","1.19","0.041","0.214","0.254","0.052","0.331","0.383","0.222","0.866","1.087","0.096","1.808","1.903"
"SND152","2017.0","162.848","3.377","1.326","4.702","1.542","0.154","1.696","0.205","4.096","3.296","1.007","4.301","2.703","7.004","7.678","4.029","11.707","1.871","1.871","0.743","0.117","0.859","2.731","0.166","1.238","1.404","0.038","0.244","0.283","0.052","0.602","0.655","0.185","1.043","1.228","0.105","2.166","2.272"
"SND152","2018.0","162.731","3.172","1.453","4.625","1.445","0.164","1.608","0.199","4.096","3.296","1.007","4.294","2.615","6.91","7.467","4.068","11.535","1.729","1.729","0.54","0.103","0.643","2.372","0.138","1.302","1.44","0.036","0.26","0.297","0.054","0.553","0.607","0.176","1.025","1.201","0.08","2.246","2.326"
"SND152","2019.0","168.3","3.058","1.461","4.519","1.553","0.14","1.693","0.191","4.096","3.296","1.007","4.287","2.7","6.987","7.346","4.16","11.506","1.922","1.922","0.493","0.102","0.595","2.517","0.138","1.313","1.451","0.036","0.219","0.255","0.053","0.488","0.541","0.184","0.926","1.109","0.089","2.323","2.412"
"SND152","2020.0","172.441","3.936","1.465","5.402","1.305","0.131","1.437","0.169","4.096","3.296","1.007","4.264","2.444","6.708","8.201","3.909","12.11","2.193","2.193","0.423","0.093","0.516","2.709","0.138","1.793","1.931","0.036","0.293","0.329","0.056","0.707","0.763","0.17","1.0","1.17","0.096","3.018","3.114"
"SND152","2002.0","145.915","2.765","2.763","5.528","4.195","0.165","4.36","0.307","1.535","0.791","1.932","1.842","6.291","8.134","4.607","9.054","13.662","6.587","6.587","6.929","0.272","7.2","13.788","0.153","1.342","1.496","0.036","0.277","0.313","0.051","0.642","0.693","0.135","1.211","1.346","0.106","2.466","2.573"
"CAD150","2001.0","151.199","1.507","2.241","3.748","3.314","0.077","3.391","0.233","1.217","0.678","1.516","1.45","4.907","6.356","2.957","7.147","10.104","4.147","4.147","1.446","0.244","1.69","5.837","0.208","1.442","1.65","0.038","0.24","0.279","0.048","0.526","0.574","0.135","1.754","1.89","0.092","2.448","2.54"
"CAD150","2002.0","122.898","1.949","2.457","4.406","3.132","0.078","3.21","0.206","1.217","0.678","1.516","1.423","4.726","6.15","3.373","7.183","10.556","4.314","4.314","1.472","0.227","1.699","6.013","0.19","1.611","1.801","0.038","0.256","0.293","0.05","0.537","0.588","0.146","1.559","1.705","0.092","2.609","2.701"
"CAD150","2003.0","130.777","2.982","2.587","5.569","2.896","0.081","2.977","0.204","1.539","0.894","1.596","1.743","4.573","6.316","4.725","7.16","11.885","4.563","4.563","1.391","0.201","1.592","6.155","0.147","1.635","1.782","0.035","0.271","0.305","0.052","0.531","0.583","0.148","1.649","1.797","0.092","2.783","2.875"
"CAD150","2004.0","147.179","2.577","2.43","5.008","2.614","0.092","2.706","0.207","1.39","0.792","1.496","1.597","4.202","5.799","4.174","6.632","10.807","4.739","4.739","1.516","0.227","1.743","6.482","0.214","2.094","2.308","0.043","0.332","0.375","0.056","0.788","0.844","0.139","1.544","1.683","0.062","3.589","3.651"
"CAD150","2005.0","91.958","1.693","1.967","3.66","3.342","0.061","3.403","0.247","1.42","0.886","1.415","1.667","4.818","6.484","3.36","6.785","10.144","3.895","3.895","1.654","0.249","1.903","5.798","0.106","1.394","1.5","0.03","0.26","0.29","0.045","0.613","0.658","0.141","1.413","1.555","0.038","2.231","2.269"
"CAD150","2006.0","112.322","2.142","1.85","3.992","2.859","0.069","2.928","0.189","1.242","0.757","1.248","1.431","4.176","5.607","3.573","6.026","9.599","3.547","3.547","1.438","0.213","1.651","5.199","0.181","1.777","1.959","0.04","0.285","0.325","0.047","0.47","0.517","0.159","1.604","1.763","0.055","2.967","3.022"
"CAD150","2007.0","140.784","1.705","1.992","3.696","2.603","0.072","2.675","0.214","1.178","0.623","1.217","1.393","3.893","5.285","3.097","5.884","8.982","3.687","3.687","1.245","0.215","1.459","5.146","0.161","1.478","1.639","0.038","0.27","0.308","0.048","0.683","0.731","0.147","1.265","1.412","0.047","2.487","2.533"
"CAD150","2008.0","165.416","1.792","2.044","3.835","2.25","0.104","2.354","0.209","1.299","0.725","1.151","1.508","3.505","5.013","3.299","5.549","8.848","3.964","3.964","1.012","0.225","1.237","5.201","0.245","2.337","2.582","0.047","0.437","0.484","0.056","1.124","1.18","0.146","2.502","2.649","0.092","3.801","3.893"
"CAD150","2009.0","218.957","2.409","2.143","4.552","1.618","0.093","1.711","0.188","1.368","0.788","1.141","1.555","2.852","4.408","3.964","4.995","8.96","4.263","4.263","0.912","0.171","1.083","5.346","0.172","2.057","2.229","0.035","0.372","0.407","0.055","0.922","0.977","0.13","1.99","2.12","0.08","3.391","3.471"
"CAD150","2010.0","82.482","1.275","1.508","2.783","2.068","0.074","2.142","0.18","1.336","0.797","1.017","1.516","3.159","4.675","2.791","4.667","7.458","2.53","2.53","0.956","0.173","1.13","3.66","0.159","1.156","1.315","0.037","0.238","0.275","0.052","0.382","0.434","0.162","1.691","1.853","0.043","1.946","1.989"
"CAD150","2011.0","144.204","3.395","2.354","5.749","2.235","0.113","2.347","0.205","1.391","0.814","0.962","1.596","3.309","4.905","4.991","5.663","10.654","4.505","4.505","0.834","0.195","1.029","5.534","0.245","2.448","2.693","0.044","0.484","0.528","0.056","0.84","0.896","0.167","3.045","3.213","0.094","3.9","3.994"
